"female","race","outcome","riskfactor","V1","V2","V3"
0,2,"SCNC","leg_tot",0,0,0
0,3,"SCNC","leg_tot",0,0,0
0,4,"SCNC","leg_tot",0,0,0
1,1,"SCNC","leg_tot",0,0,0
1,2,"SCNC","leg_tot",0,0,0
1,3,"SCNC","leg_tot",0,0,0
1,4,"SCNC","leg_tot",0,0,0
0,1,"TC","leg_tot",29.9517811619261,32.3772458491166,30.8445056099034
0,2,"TC","leg_tot",1.52201934232542,1.93031168519688,3.0863882653493
0,3,"TC","leg_tot",4.26657178694338,2.23071910560267,2.72311634374339
0,4,"TC","leg_tot",3.05416826024084,2.83079396934345,3.79744378396442
1,1,"TC","leg_tot",77.7350082099417,73.2904697468095,106.059584769632
1,2,"TC","leg_tot",9.39212595619584,7.18869400714033,9.81598812012705
1,3,"TC","leg_tot",18.0698988085828,11.7406190303944,10.1417317134229
1,4,"TC","leg_tot",9.1763699680999,11.855214535019,11.8105670132937
0,1,"UC","leg_tot",0,0,0
0,2,"UC","leg_tot",0,0,0
0,3,"UC","leg_tot",0,0,0
0,4,"UC","leg_tot",0,0,0
1,1,"UC","leg_tot",1083.94713588646,974.788913283987,1135.89587617622
1,2,"UC","leg_tot",179.123503609749,143.422122369648,158.362279546922
1,3,"UC","leg_tot",109.195517911368,132.006776497373,93.6781315730403
1,4,"UC","leg_tot",100.031275856886,100.555744439743,113.064521287873
