"female","race","outcome","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,3,"MMC",0.272918810638975,0.0971924441779128,0.326063022228376,0.169008188195286,0.331656853231672,0.000215107951439265,7.21000009463496e-05,0.000233632977077898,0.000140456993595624,0.000274012637490067,0.0233632977077898,0.0140456993595624,0.0274012637490067,0.00142741912240002,0.000508335622039154,0.00170537381409012,0.000883946105097387,0.00173463065176607
0,3,"OC",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,3,"OSTK",5.71825362727462,3.62435019824989,5.97681006773055,2.17181179411994,9.04492248604176,0.0027483236333353,0.00166287647127465,0.00301686168181164,0.00106998782631722,0.00419840209914848,0.301686168181164,0.106998782631722,0.419840209914848,0.0299075925004762,0.01895606523839,0.0312598935986027,0.0113590033531312,0.0473067257144135
0,3,"OTH",0.847924021762685,0.36745232300963,0.994692008394785,0.458017194690414,1.11307806019767,0.000918303309925058,0.000392624983933457,0.00106097505118593,0.000503624909043088,0.00121171073073528,0.106097505118593,0.0503624909043088,0.121171073073528,0.00443480960573094,0.0019218480074944,0.00520243507714611,0.00239552012028205,0.00582161744047695
0,3,"PC",0.650621820691562,0.360945292680261,0.583497769358601,0.340727758729613,1.01757132628653,0.000291135768498792,0.000154224408471791,0.000267332193286594,0.000156053837566805,0.000446450738361149,0.0267332193286594,0.0156053837566805,0.0446450738361149,0.00340288024167883,0.00188781495751726,0.00305180823524108,0.00178207327374926,0.0053220984150805
0,3,"PVD",0.188567472166043,0.115841101828189,0.235335760720379,0.0655876886630394,0.271794210397861,0.000788453958739769,0.000484255902454071,0.000948414143136093,0.000279653136184668,0.00116128862455799,0.0948414143136093,0.0279653136184668,0.116128862455799,0.000986245011848975,0.000605871773815472,0.00123085237052859,0.000343036527135854,0.00142153724168443
0,3,"RHD",0.139863827433336,0.00580313931538925,0.139295884846177,0.134612057994611,0.145598348071147,0.00161241516430618,0.000385736878215085,0.00142809340133782,0.00135715165933216,0.0020243521678033,0.142809340133782,0.135715165933216,0.20243521678033,0.000731515359249079,3.03515613648767e-05,0.000728544907679844,0.000704047570914077,0.000761508031417932
0,3,"SCC",0.332974712648193,0.198571821228925,0.409528891479309,0.122620701326168,0.47825767196377,0.000804311902144391,0.000483896872350671,0.00105631857748759,0.000286917208110447,0.00110750092213662,0.105631857748759,0.0286917208110447,0.110750092213662,0.00174152331602536,0.00103856972748909,0.00214191674624486,0.000641330414218355,0.00250138180214578
0,3,"SCNC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"TC",0.361142101348934,0.195547293204917,0.356226884118791,0.177505159104964,0.548956978238526,0.000261746426050341,0.00013260510695984,0.000261209112656202,0.000136000708255099,0.000387948860230602,0.0261209112656202,0.0136000708255099,0.0387948860230602,0.00188884430560968,0.00102275085033805,0.00186313675159892,0.000928386936165623,0.0028711530959629
