"","age","female","race","outcome","pathway","V1","V2","V3"
"515",65,1,3,"HHD","direct",0,0,0
"516",75,1,3,"HHD","direct",0,0,0
"517",25,0,4,"HHD","direct",0,0,0
"518",35,0,4,"HHD","direct",0,0,0
"519",45,0,4,"HHD","direct",0,0,0
"520",55,0,4,"HHD","direct",0,0,0
"521",65,0,4,"HHD","direct",0,0,0
"522",75,0,4,"HHD","direct",0,0,0
"523",25,1,4,"HHD","direct",0,0,0
"524",35,1,4,"HHD","direct",0,0,0
"525",45,1,4,"HHD","direct",0,0,0
"526",55,1,4,"HHD","direct",0,0,0
"527",65,1,4,"HHD","direct",0,0,0
"528",75,1,4,"HHD","direct",0,0,0
"529",25,0,1,"HSTK","direct",0.121069119759771,0.103343407084119,0.141771383495692
"530",35,0,1,"HSTK","direct",0.0139087713884107,0.0987107210663773,0.0876624859931739
"531",45,0,1,"HSTK","direct",0.0725946938743581,0.0937687384872874,0.083218746946394
"532",55,0,1,"HSTK","direct",0.0820815959124496,0.0183556975672911,0.0491282081203995
"533",65,0,1,"HSTK","direct",0.0539767695924942,0.0799375220566081,0.0315750386614986
"534",75,0,1,"HSTK","direct",0.0334482154319253,0.0236902802254872,0.0338560633755243
"535",25,1,1,"HSTK","direct",0.0908588507906893,0.0959928448726928,0.154308320141294
"536",35,1,1,"HSTK","direct",0.10626019645618,0.188303851001875,0.162212264164417
"537",45,1,1,"HSTK","direct",0.0714267438557535,0.0549129049425927,0.100620311704276
"538",55,1,1,"HSTK","direct",0.0466303495854739,0.021707991983178,0.0874696339419662
"539",65,1,1,"HSTK","direct",0.0918883836910281,0.0888178434706813,0.0512323389816816
"540",75,1,1,"HSTK","direct",0.0587865076898545,0.0584581496872422,0.0646194575504786
"541",25,0,2,"HSTK","direct",0.05093270000018,0.148481440017873,0.126376706532977
"542",35,0,2,"HSTK","direct",0.0969614704181172,0.0305163695564378,0.0418732351233896
"543",45,0,2,"HSTK","direct",0.157313961973604,0.101417262883352,0.0788182396366301
"544",55,0,2,"HSTK","direct",0.0497371216749801,0.100262994031043,0.113366385768503
"545",65,0,2,"HSTK","direct",0.0500737695880852,0.00844904944945757,0.108049957351251
"546",75,0,2,"HSTK","direct",0.0402612785638891,0.0238688979023989,0.0283977980939445
"547",25,1,2,"HSTK","direct",0.111635098091479,0.111749606950006,0.128854430414826
